t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
1.71,500.0,4.45236,15.6309,37.28749,0.10975,21.89315,144.81537,3.26041,37.28749,0.10975,21.89325,0,2.23249,0
1.72,500.0,4.50463,15.6293,37.50642,0.1104,21.89307,145.18934,3.26075,37.50642,0.1104,21.89325,0,2.23249,0
1.73,500.0,4.55721,15.6277,37.72535,0.11104,21.89298,145.5655,3.26108,37.72535,0.11104,21.89325,0,2.23249,0
1.74,500.0,4.61009,15.62609,37.94428,0.11169,21.89287,145.94385,3.26141,37.94428,0.11169,21.89325,0,2.23249,0
1.75,500.0,4.66327,15.62449,38.16321,0.11233,21.89273,146.32438,3.26175,38.16321,0.11233,21.89325,0,2.23249,0
1.76,500.0,4.71675,15.62289,38.38213,0.11298,21.89258,146.70711,3.26208,38.38213,0.11298,21.89325,0,2.23249,0
1.77,500.0,4.77054,15.62129,38.60106,0.11362,21.89241,147.09203,3.26242,38.60106,0.11362,21.89325,0,2.23249,0
1.78,500.0,4.82462,15.61968,38.81998,0.11427,21.89222,147.47913,3.26275,38.81998,0.11427,21.89325,0,2.23249,0
1.79,500.0,4.87901,15.61808,39.0389,0.11491,21.89201,147.86842,3.26309,39.0389,0.11491,21.89325,0,2.23249,0
1.8,500.0,4.9337,15.61648,39.25782,0.11556,21.89178,148.25991,3.26342,39.25782,0.11556,21.89325,0,2.23249,0
1.81,500.0,4.98868,15.61488,39.47673,0.1162,21.89153,148.65358,3.26376,39.47673,0.1162,21.89325,0,2.23249,0
1.82,500.0,5.04397,15.61327,39.69564,0.11685,21.89127,149.04944,3.26409,39.69564,0.11685,21.89325,0,2.23249,0
1.83,500.0,5.09956,15.61167,39.91455,0.11749,21.89098,149.44749,3.26443,39.91455,0.11749,21.89325,0,2.23249,0
1.84,500.0,5.15545,15.61007,40.13346,0.11814,21.89067,149.84773,3.26476,40.13346,0.11814,21.89325,0,2.23249,0
1.85,500.0,5.21165,15.60846,40.35236,0.11878,21.89035,150.25016,3.2651,40.35236,0.11878,21.89325,0,2.23249,0
1.86,500.0,5.26814,15.60686,40.57126,0.11943,21.89,150.65478,3.26543,40.57126,0.11943,21.89325,0,2.23249,0
1.87,500.0,5.32493,15.60526,40.79016,0.12007,21.88964,151.06159,3.26577,40.79016,0.12007,21.89325,0,2.23249,0
1.88,500.0,5.38202,15.60366,41.00905,0.12072,21.88925,151.47058,3.2661,41.00905,0.12072,21.89325,0,2.23249,0
1.89,500.0,5.43941,15.60205,41.22794,0.12136,21.88885,151.88177,3.26644,41.22794,0.12136,21.89325,0,2.23249,0
1.9,500.0,5.4971,15.60045,41.44683,0.12201,21.88843,152.29514,3.26678,41.44683,0.12201,21.89325,0,2.23249,0
1.91,500.0,5.5551,15.59885,41.66571,0.12265,21.88799,152.71071,3.26711,41.66571,0.12265,21.89325,0,2.23249,0
1.92,500.0,5.61339,15.59724,41.88458,0.1233,21.88753,153.12846,3.26745,41.88458,0.1233,21.89325,0,2.23249,0
1.93,500.0,5.67198,15.59564,42.10345,0.12394,21.88705,153.5484,3.26778,42.10345,0.12394,21.89325,0,2.23249,0
1.94,500.0,5.73087,15.59404,42.32232,0.12459,21.88655,153.97053,3.26812,42.32232,0.12459,21.89325,0,2.23249,0
1.95,500.0,5.79005,15.59244,42.54118,0.12523,21.88603,154.39484,3.26845,42.54118,0.12523,21.89325,0,2.23249,0
1.96,500.0,5.84954,15.59083,42.76003,0.12588,21.88549,154.82135,3.26879,42.76003,0.12588,21.89325,0,2.23249,0
1.97,500.0,5.90933,15.58923,42.97888,0.12652,21.88494,155.25004,3.26913,42.97888,0.12652,21.89325,0,2.23249,0
1.98,500.0,5.96941,15.58763,43.19772,0.12717,21.88436,155.68093,3.26946,43.19772,0.12717,21.89325,0,2.23249,0
1.99,500.0,6.0298,15.58603,43.41656,0.12781,21.88376,156.114,3.2698,43.41656,0.12781,21.89325,0,2.23249,0
2.0,500.0,6.09048,15.58442,43.63539,0.12846,21.88315,156.54926,3.27013,43.63539,0.12846,21.89325,0,2.23249,0
2.01,500.0,6.15146,15.58282,43.85422,0.1291,21.88251,156.98671,3.27047,43.85422,0.1291,21.89325,0,2.23249,0
